idx, removed feature, AUC-training, AUC-validation, percent change AUC-train, percent change AUC-valid
278, PXHRFTPT,0.8065,0.76,-0.3022,-0.1536
95, PUHROT1,0.808,0.7601,-0.1222,-0.1488
217, PEERNHRY,0.8017,0.7601,-0.8986,-0.1479
75, PUDIS,0.8074,0.7601,-0.1909,-0.1448
139, PULKAVR,0.8032,0.7601,-0.7079,-0.1437
31, GESTFIPS,0.8061,0.7601,-0.3502,-0.1425
4, HUFINAL,0.8083,0.7602,-0.0799,-0.1375
286, PXHRRSN3,0.8082,0.7602,-0.0965,-0.1371
216, PEERNRT,0.7949,0.7602,-1.7398,-0.1363
310, PXIO1COW,0.8082,0.7602,-0.0945,-0.1306
46, PEAFEVER,0.8045,0.7602,-0.5467,-0.129
76, PERET1,0.8064,0.7602,-0.3139,-0.1281
120, PELKM1,0.8075,0.7602,-0.1842,-0.1278
230, PEERNLAB,0.8088,0.7602,-0.0259,-0.1278
212, PRSJMJ,0.807,0.7603,-0.2388,-0.1251
213, PRERELG,0.8032,0.7603,-0.7169,-0.1205
150, PEDWLKWK,0.8074,0.7603,-0.187,-0.1193
82, PEABSPDO,0.8081,0.7603,-0.1012,-0.1191
247, PRNMCHLD,0.7936,0.7603,-1.9042,-0.1189
300, PXDWRSN,0.8075,0.7603,-0.1829,-0.1153
2, HRYEAR4,0.807,0.7603,-0.2373,-0.1141
333, QSTNUM,0.8019,0.7603,-0.8709,-0.1132
42, PRTFAGE,0.8076,0.7603,-0.1625,-0.1127
298, PXLKFTO,0.8081,0.7604,-0.1036,-0.1114
38, GTCSA,0.8076,0.7604,-0.1622,-0.1101
185, PUIODP3,0.7985,0.7604,-1.287,-0.1086
337, PECYC,0.8033,0.7604,-0.6944,-0.1062
205, PRMJIND1,0.8091,0.7604,0.0179,-0.1059
131, PULKDK6,0.8066,0.7604,-0.2856,-0.1049
324, PXERNH2,0.8084,0.7604,-0.0682,-0.1034
339, PEGR6COR,0.8022,0.7604,-0.831,-0.1014
59, PENATVTY,0.8075,0.7605,-0.1843,-0.0985
326, PXERNCOV,0.8073,0.7605,-0.2038,-0.0945
91, PEHRRSN2,0.8079,0.7605,-0.1334,-0.0936
372, PEDISPHY,0.8074,0.7605,-0.1947,-0.0896
311, PXIO1ICD,0.8078,0.7605,-0.1384,-0.0874
276, PXHRUSL1,0.8076,0.7606,-0.1655,-0.0812
62, PRCITSHP,0.8064,0.7606,-0.3114,-0.0807
262, PXAFWHN1,0.8046,0.7606,-0.5377,-0.0796
111, PELAYAVL,0.8069,0.7606,-0.2596,-0.0785
199, PRDTCOW2,0.8075,0.7606,-0.1778,-0.0785
357, PEAFWHN4,0.797,0.7606,-1.4817,-0.0744
223, PEERNHRO,0.8097,0.7607,0.0881,-0.0717
362, PEMOMTYP,0.8094,0.7607,0.0507,-0.0715
209, PRMJOCGR,0.8041,0.7607,-0.5967,-0.0677
16, HRINTSTA,0.8071,0.7607,-0.2263,-0.0669
64, PRINUSYR,0.8062,0.7607,-0.3441,-0.0662
273, PXABSPDO,0.8062,0.7607,-0.3369,-0.0638
378, PXDISREM,0.8089,0.7607,-0.0045,-0.0635
65, PUSLFPRX,0.8053,0.7607,-0.4545,-0.0634
295, PXLKLL2O,0.8089,0.7607,-0.0059,-0.0621
327, PXNLFJH,0.8071,0.7607,-0.2289,-0.0614
350, PEIO2ICD,0.8079,0.7607,-0.1339,-0.061
18, HRHTYPE,0.8106,0.7607,0.1991,-0.0605
364, PXLNDAD,0.8017,0.7608,-0.901,-0.0596
347, PWCMPWGT,0.8073,0.7608,-0.2075,-0.0574
239, PESCHLVL,0.8071,0.7608,-0.2316,-0.0571
129, PULKDK4,0.8054,0.7608,-0.435,-0.0565
43, PEMARITL,0.8049,0.7608,-0.5073,-0.053
235, PUNLFCK1,0.8067,0.7608,-0.2784,-0.0524
119, PULK,0.8086,0.7608,-0.0417,-0.052
315, PXIO2OCD,0.8061,0.7608,-0.3573,-0.0488
63, PRCITFLG,0.8082,0.7608,-0.0906,-0.047
246, PRCHLD,0.8037,0.7609,-0.6564,-0.0462
141, PELKLL2O,0.799,0.7609,-1.229,-0.0417
68, PUBUS1,0.808,0.7609,-0.1212,-0.0399
233, PENLFRET,0.8079,0.7609,-0.127,-0.0385
343, PXCYC,0.8073,0.7609,-0.201,-0.0381
35, GTMETSTA,0.8079,0.7609,-0.1281,-0.0367
54, PRFAMREL,0.8072,0.7609,-0.212,-0.0362
25, HUBUSL1,0.8085,0.7609,-0.061,-0.0344
175, PRUNEDUR,0.8071,0.7609,-0.2319,-0.0342
283, PXHRACT1,0.8078,0.761,-0.1412,-0.0332
12, HUTYPEA,0.7998,0.761,-1.1351,-0.0312
292, PXLKM1,0.807,0.761,-0.2418,-0.0293
47, PEAFNOW,0.8007,0.761,-1.0221,-0.0291
360, PELNMOM,0.8068,0.761,-0.2612,-0.0279
108, PUHRCK12,0.8023,0.761,-0.8243,-0.027
344, PXGRPROF,0.8081,0.761,-0.1016,-0.0266
118, PULAYCK3,0.8078,0.761,-0.1433,-0.0235
207, PRMJOCC1,0.8064,0.761,-0.315,-0.0212
348, PEIO1ICD,0.8077,0.7611,-0.1615,-0.0154
166, PRDISC,0.8086,0.7611,-0.0437,-0.0137
244, PWSSWGT,0.7957,0.7611,-1.6334,-0.0099
191, PUIOCK2,0.8094,0.7611,0.0597,-0.0082
159, PUJHDP1O,0.8095,0.7611,0.0639,-0.0081
90, PEHRRSN1,0.8078,0.7612,-0.1423,-0.0055
134, PULKPS3,0.8073,0.7612,-0.2001,-0.0035
138, PELKAVL,0.8097,0.7612,0.0863,-0.0026
255, PXINUSYR,0.8068,0.7612,-0.2677,-0.0017
77, PUDIS1,0.8084,0.7612,-0.0655,0.001
319, PXERNHRO,0.8026,0.7612,-0.7897,0.0018
116, PULAYCK1,0.8015,0.7612,-0.9198,0.0022
1, HRMONTH,0.808,0.7612,-0.1239,0.0028
355, PEAFWHN2,0.8076,0.7613,-0.1627,0.0061
341, PXDIPGED,0.8091,0.7613,0.0154,0.0071
226, PEERN,0.8074,0.7613,-0.1868,0.0073
37, GTCBSASZ,0.8069,0.7613,-0.251,0.0087
340, PEMS123,0.8018,0.7613,-0.8842,0.0093
109, PULAYDT,0.8065,0.7613,-0.308,0.0105
127, PULKDK2,0.8029,0.7613,-0.7498,0.011
17, HRNUMHOU,0.8081,0.7613,-0.1075,0.0129
303, PXDW4WK,0.8083,0.7613,-0.0795,0.0139
375, PRDISFLG,0.8083,0.7613,-0.0812,0.0147
197, PRCOWPG,0.7955,0.7613,-1.6695,0.0156
57, PRMARSTA,0.7992,0.7613,-1.2005,0.0168
